"id";"encuesta_id";"pregunta_id";"respuesta_id";"empleado_id";"created_at";"updated_at"
1;1;1;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
2;1;2;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
3;1;3;6;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
4;1;4;6;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
5;1;5;4;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
6;1;6;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
7;1;7;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
8;1;8;3;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
9;1;9;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
10;1;10;6;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
11;1;11;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
12;1;12;5;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
13;1;13;1;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
14;1;14;4;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
15;1;15;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
16;1;16;4;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
17;1;17;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
18;2;18;6;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
19;2;19;6;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
20;2;20;3;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
21;2;21;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
22;2;22;4;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
23;2;23;2;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
24;2;24;3;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
25;2;25;4;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
26;2;26;1;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
27;2;27;5;1;"2019-08-08 08:52:34";"2019-08-08 08:52:34"
28;2;28;2;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
29;2;29;3;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
30;2;30;5;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
31;2;31;2;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
32;3;32;6;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
33;3;33;6;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
34;3;34;3;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
35;3;35;4;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
36;3;36;4;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
37;3;37;5;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
38;3;38;4;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
39;3;39;2;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
40;4;40;6;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
41;4;41;5;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
42;4;42;4;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
43;4;43;1;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
44;4;44;6;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
45;4;45;3;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
46;4;46;6;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
47;4;47;2;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
48;4;48;1;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
49;4;49;5;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
50;4;50;6;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
51;4;51;6;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
52;4;52;4;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
53;4;53;5;1;"2019-08-08 08:52:35";"2019-08-08 08:52:35"
54;4;54;1;1;"2019-08-08 08:52:36";"2019-08-08 08:52:36"
55;4;55;4;1;"2019-08-08 08:52:36";"2019-08-08 08:52:36"
56;4;56;2;1;"2019-08-08 08:52:36";"2019-08-08 08:52:36"
